iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z,psi,theta,phi,psi_dot,theta_dot,phi_dot,T_psi,T_theta,T_phi
12.0,378480.0,-93050093202.69977,2855975896.265,0.0,-256560.49603553285,7545.903274794132,0.0,4.2044003385503726e-08,-1.290451799869866e-09,0.0,0.0,0.0,0.0,-2.533351513647021e-05,0.0,0.0,37848000.0,0.0,0.0,10.0,0.0,0.0
13.0,410020.0,-101142011226.74838,3093973684.9101543,0.0,-256560.49470946498,7545.903234093282,0.0,3.5596236626208095e-08,-1.0889028017884268e-09,0.0,0.0,0.0,0.0,-159.99996052859765,0.0,0.0,41002000.0,0.0,0.0,10.0,0.0,0.0
14.0,441560.0,-109233929212.17984,3331971472.3718514,0.0,-256560.4935867597,7545.9031997492875,0.0,3.052548173848438e-08,-9.311212648541892e-10,0.0,0.0,0.0,0.0,-160.0000741347716,0.0,0.0,44156000.0,0.0,0.0,10.0,0.0,0.0
15.0,473100.0,-117325847164.7233,3569969258.8288174,0.0,-256560.492623986,7545.903170381723,0.0,2.6465823029347217e-08,-8.052971864905619e-10,0.0,0.0,0.0,0.0,-0.00014758598364762612,0.0,0.0,47310000.0,0.0,0.0,10.0,0.0,0.0
16.0,504640.0,-125417765088.92009,3807967044.4221134,0.0,-256560.49178925395,7545.90314498265,0.0,2.3165281185171586e-08,-7.033503368949611e-10,0.0,0.0,0.0,0.0,-40.00018088223373,0.0,0.0,50464000.0,0.0,0.0,10.0,0.0,0.0
17.0,536180.0,-133509682988.43108,4045964829.26503,0.0,-256560.49105862097,7545.90312279898,0.0,2.044574819365935e-08,-6.19601337130902e-10,0.0,0.0,0.0,0.0,79.99982597647814,0.0,0.0,53618000.0,0.0,0.0,10.0,0.0,0.0
18.0,567720.0,-141601600866.25055,4283962613.4499288,0.0,-256560.49041376208,7545.903103256754,0.0,1.8178445163311733e-08,-5.49963976211219e-10,0.0,0.0,0.0,0.0,-0.00012700984805289473,0.0,0.0,56772000.0,0.0,0.0,10.0,0.0,0.0
19.0,599260.0,-149693518724.85892,4521960397.0531025,0.0,-256560.4898404139,7545.90308591089,0.0,1.6268391581548333e-08,-4.914375925034425e-10,0.0,0.0,0.0,0.0,79.99974159273427,0.0,0.0,59926000.0,0.0,0.0,10.0,0.0,0.0
20.0,630800.0,-157785436566.3339,4759958180.138298,0.0,-256560.48932730884,7545.903070410948,0.0,1.4644293685941068e-08,-4.4177857627207506e-10,0.0,0.0,0.0,0.0,-40.00034964972144,-0.0,0.0,63080000.0,0.0,0.0,10.0,0.0,0.0
21.0,662340.0,-165877354392.43335,4997955962.759325,0.0,-256560.48886542782,7545.903056477252,0.0,1.3251793926072714e-08,-3.9928224508199755e-10,0.0,0.0,0.0,0.0,-0.00040073721520850875,0.0,0.0,66234000.0,0.0,0.0,10.0,0.0,0.0
22.0,693880.0,-173969272204.65768,5235953744.96202,0.0,-256560.48844746622,7545.90304388389,0.0,1.2048862778783258e-08,-3.6263466179755994e-10,0.0,0.0,0.0,0.0,-160.00041166974702,0.0,0.0,69388000.0,0.0,0.0,10.0,0.0,0.0
