iteration,time,x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,F_x,F_y,F_z
15.0,150.0,1.3429548646991643e-20,6.027062136473426e-22,0.0,1.670663700817695e-22,1.168174606257565e-23,0.0,9.09097551542042e-25,1.382097064078503e-25,0.0,0.0,0.0,0.0
16.0,160.0,1.5144510997810883e-20,7.26746693865899e-22,0.0,1.7592610008207847e-22,1.3126349981135643e-23,0.0,8.859730000308975e-25,1.4446039185599932e-25,0.0,0.0,0.0,0.0
17.0,170.0,1.6946958778713847e-20,8.65529371437196e-22,0.0,1.8456345609851463e-22,1.463018553312376e-23,0.0,8.637356016436148e-25,1.5038355519881176e-25,0.0,0.0,0.0,0.0
18.0,180.0,1.8834710288008417e-20,1.0196311976950962e-21,0.0,1.9298684576039942e-22,1.6190179718456277e-23,0.0,8.423389661884787e-25,1.5599941853325165e-25,0.0,0.0,0.0,0.0
19.0,190.0,2.080566573289632e-20,1.1895993320647983e-21,0.0,2.0120424321718128e-22,1.7803447155484163e-23,0.0,8.217397456781852e-25,1.613267437027886e-25,0.0,0.0,0.0,0.0
20.0,200.0,2.285780303483552e-20,1.3759529513607477e-21,0.0,2.0922321717065808e-22,1.9467276703705707e-23,0.0,8.018973953476806e-25,1.663829548221546e-25,0.0,0.0,0.0,0.0
21.0,210.0,2.4989173904365155e-20,1.5791849308516305e-21,0.0,2.1705095673526944e-22,2.1179119194470852e-23,0.0,7.827739564611353e-25,1.7118424907651438e-25,0.0,0.0,0.0,0.0
22.0,220.0,2.719790016465054e-20,1.7997634076490664e-21,0.0,2.2469429532180727e-22,2.2936576165016294e-23,0.0,7.643338586537827e-25,1.7574569705454407e-25,0.0,0.0,0.0,0.0
23.0,230.0,2.948217030485934e-20,2.038133235985484e-21,0.0,2.3215973271995257e-22,2.4737389502267254e-23,0.0,7.465437398145305e-25,1.8008133372509597e-25,0.0,0.0,0.0,0.0
24.0,240.0,3.184023624614599e-20,2.294717343059998e-21,0.0,2.3945345553737636e-22,2.6579431912635534e-23,0.0,7.2937228174238055e-25,1.8420424103682787e-25,0.0,0.0,0.0,0.0
25.0,250.0,3.427041030452017e-20,2.569917993336685e-21,0.0,2.465813561374596e-22,2.846069814270183e-23,0.0,7.127900600083226e-25,1.8812662300662938e-25,0.0,0.0,0.0,0.0
26.0,260.0,3.6771062336226183e-20,2.8641179684668813e-21,0.0,2.5354905020374393e-22,3.0379296883337413e-23,0.0,6.967694066284308e-25,1.9185987406355832e-25,0.0,0.0,0.0,0.0
27.0,270.0,3.9340617052478957e-20,3.1776816693666708e-21,0.0,2.6036189304681037e-22,3.233344329662045e-23,0.0,6.812842843066462e-25,1.954146413283037e-25,0.0,0.0,0.0,0.0
28.0,280.0,4.197755149150406e-20,3.510956146404487e-21,0.0,2.6702499475821107e-22,3.432145211094284e-23,0.0,6.663101711400677e-25,1.9880088143223918e-25,0.0,0.0,0.0,0.0
29.0,290.0,4.4680392636826066e-20,3.864272063134589e-21,0.0,2.7354323430619004e-22,3.6341731235077606e-23,0.0,6.51823954797895e-25,2.0202791241347652e-25,0.0,0.0,0.0,0.0
30.0,300.0,4.744771517165244e-20,4.237944598543801e-21,0.0,2.7992127265908545e-22,3.839277584676485e-23,0.0,6.378038352895419e-25,2.0510446116872444e-25,0.0,0.0,0.0,0.0
